stdrsr1 stdrsb1 std1bsr1 stdbsb1 stdrsr2 stdrsb2 std1bsr2 stdbsb2 stdrsr3 stdrsb3 std1bsr3 stdbsb3 stdrsr4 stdrsb4 std1bsr4 stdbsb4
0.0 0.0 4.089329647205115e-05 0.0 0.0 0.0 3.813454988428565e-05 0.0 0.0 5.27790477282255e-05 0.0 0.0 0.0 0.0 0.0 5.656537974967546e-05
0.0 0.0 2.2823936480713466e-05 0.0 0.0 0.0 1.5181637754764163e-05 1.5181637754764163e-05 0.0 2.101171735559185e-05 0.0 1.8796270538406375e-05 0.0 0.0 0.0 2.2519083283427395e-05
0.0 0.0 9.08637277322957e-06 1.26226187395774e-05 0.0 0.0 8.483365699031255e-06 6.043918850917302e-06 0.0 1.1654511088250982e-05 0.0 1.0458685472742094e-05 0.0 0.0 0.0 1.3379423684251225e-05
0.0 4.986121933225795e-06 3.6173501553447606e-06 7.186945991382597e-06 0.0 5.065111592354206e-06 5.8200170479235555e-06 7.771767703381423e-06 0.0 6.359645886187443e-06 2.979008121997763e-06 7.642416057815938e-06 0.0 0.0 3.5690341796368926e-06 8.846554728743655e-06
1.4284593306999495e-06 4.898307787590554e-06 1.7482066390651407e-06 5.132422559755957e-06 2.9040303403296025e-06 3.995398190107536e-06 2.6376251756337864e-06 5.831356368703768e-06 1.847115528523155e-06 3.964230361728792e-06 2.005811030154748e-06 5.3276387697615325e-06 0.0 2.9656772642382377e-06 2.3003916943134193e-06 5.559642910577584e-06
2.5189817117528664e-06 3.2030431913162217e-06 1.0244453987164764e-06 3.9311581807580454e-06 1.4574784404379425e-06 2.566620607686369e-06 1.7892755746406096e-06 3.695520197778497e-06 1.476260195302891e-06 2.7898695337107797e-06 1.311423389895336e-06 3.6819111667152015e-06 7.25674882978824e-07 2.6341569029168677e-06 1.134516984689783e-06 3.269142042839696e-06
1.68372462343895e-06 2.4999136589060387e-06 7.557760596075543e-07 3.6912833141836655e-06 7.828249216123875e-07 1.9977142417930954e-06 8.979662766705442e-07 2.6807779199659397e-06 8.025330560366415e-07 2.2549838362285462e-06 6.783150812185356e-07 2.5402472849315116e-06 7.281645109675848e-07 2.8279919769586782e-06 8.114637997868026e-07 2.530343200365238e-06
1.2202852656067456e-06 2.052613764498324e-06 5.474360173944335e-07 3.101135979952397e-06 5.583529406124658e-07 1.337539281070275e-06 6.060134491822259e-07 2.12320516705467e-06 3.9962527879059415e-07 1.9662523316266613e-06 4.819527387635351e-07 2.087967325721678e-06 4.4978431327115295e-07 1.6673782764991594e-06 4.700642529561677e-07 1.8798683817584803e-06
1.1358387640015844e-06 1.8188364469387108e-06 4.119401295836339e-07 2.7793406831829186e-06 4.1756603930088943e-07 1.5315856704752261e-06 4.097698249022229e-07 1.8319686543730996e-06 4.1952520871275237e-07 1.8897716065470704e-06 3.377703132929012e-07 1.4775102968141714e-06 3.581247206314534e-07 1.334261846833772e-06 2.627105383453629e-07 1.5142766905854186e-06
9.056772444591904e-07 1.5643513252745066e-06 3.362850806769352e-07 2.6018930062082713e-06 3.1505239957002207e-07 1.3210659413058004e-06 3.031372086065954e-07 1.5064125286886922e-06 3.7762997302709625e-07 1.7674024481992476e-06 2.6174923274600134e-07 1.3111008913024204e-06 2.1913926925697964e-07 1.069993633719056e-06 1.7128605418061614e-07 1.2858295972851938e-06
9.261267979528243e-07 1.488941065956079e-06 3.081954969702521e-07 2.2353602805046213e-06 2.828561455099196e-07 1.3553941979665165e-06 2.574804021672073e-07 1.2615683448343171e-06 3.3056561720555167e-07 1.6043007445279315e-06 2.338040337103694e-07 1.1754578669776612e-06 1.7527008104960612e-07 1.063752720216717e-06 1.4752829011160608e-07 1.0939189473342854e-06
7.810288833437864e-07 1.121797556449273e-06 2.6052459148483947e-07 1.8161536168547104e-06 2.2163319234496702e-07 1.0585446785253855e-06 2.3821600780492545e-07 1.1142962615833086e-06 2.9829239235396496e-07 1.3306428698752599e-06 2.0775713019611853e-07 9.723678122423615e-07 1.2414439710655242e-07 8.695679244302464e-07 1.1194989553511397e-07 8.582805828549808e-07
4.3109252557342074e-07 6.340245945542555e-07 1.5888353407124641e-07 1.2052254759400955e-06 1.4888792090278874e-07 6.608042318019908e-07 1.7148845306392116e-07 7.391122840344661e-07 1.7813677098379795e-07 7.931657337536289e-07 1.4252785811055152e-07 6.645488166070172e-07 6.640341354806517e-08 5.247230912796085e-07 6.361859806067745e-08 5.051822260735633e-07
