id field ra dec z lmass uv vj
13.0 AEGIS 215.30076599 53.05123901 1.3049 10.46 1.651842796082762 1.9038400333477052
17.0 AEGIS 215.2406311 53.00996017 1.7499 10.47 1.4756493663042023 1.3281865571614138
31.0 AEGIS 215.29078674 53.04651642 1.462 9.64 1.4522546198423578 -4.459515263503471
37.0 AEGIS 215.28300476 53.04141235 2.3198 9.56 0.8638150647201066 0.6849390133918982
46.0 AEGIS 215.29345703 53.04829788 1.2171 10.6 2.0495817960434266 1.266263728054261
63.0 AEGIS 215.29655457 53.05076981 1.2187 9.8 0.8900010620778702 0.7442157685084404
73.0 AEGIS 215.28831482 53.04557419 2.2613 9.89 0.6999156175451506 0.7108999338089184
83.0 AEGIS 215.30245972 53.05533218 0.725 9.55 0.7743774763140515 0.6906009208507737
86.0 AEGIS 215.25584412 53.02405167 2.2949 9.99 1.049844629437607 1.0342714878296748
87.0 AEGIS 215.19033813 52.97809219 2.573 9.59 0.5525941859672809 0.8706346412184431
103.0 AEGIS 215.2644043 53.03004837 2.5363 9.95 0.5269926917022661 0.44169202112323397
110.0 AEGIS 215.29719543 53.05190659 0.6943 10.13 1.8692233172175357 1.2266625020299176
111.0 AEGIS 215.27722168 53.03959656 2.5006 9.79 0.6392598560087479 1.6312108198242183
128.0 AEGIS 215.27203369 53.03641891 1.1888 9.46 1.7351870642142702 1.4217702860581727
130.0 AEGIS 215.27748108 53.03994751 1.3865 10.01 0.9037419821592558 1.0243627486621052
135.0 AEGIS 215.27250671 53.03642654 0.7194 9.77 1.8079398265170799 1.284848900913198
149.0 AEGIS 215.27235413 53.03614044 0.7544 9.69 1.6229554127096413 1.1449642086113974
151.0 AEGIS 215.25231934 53.02233887 0.6786 9.51 1.0555305500571612 1.0251185973349848
155.0 AEGIS 215.29968262 53.05522919 1.1587 9.68 0.7255827966082746 0.7794493354300354
164.0 AEGIS 215.15075684 52.95123291 2.1686 10.93 1.3669082158900527 1.5716732405525147
173.0 AEGIS 215.24935913 53.02114487 2.3065 9.5 0.4845806291433319 0.2352368326647606
185.0 AEGIS 215.16636658 52.9631691 2.3879 10.21 0.9062345750166225 0.9623997975038902
186.0 AEGIS 215.14985657 52.95133972 1.8855 9.72 1.017292706094903 0.9512483528047527
192.0 AEGIS 215.26251221 53.02968597 1.0002 9.83 0.6827502622061135 0.6562504945378809
195.0 AEGIS 215.25904846 53.0273819 1.561 11.0 1.4062660417905803 1.6830973617151375
201.0 AEGIS 215.28141785 53.04430389 1.8153 10.05 1.6557287690932725 1.11062760533249
209.0 AEGIS 215.1277771 52.93600464 1.4393 10.69 1.6338128276961748 1.6636157712139024
225.0 AEGIS 215.26004028 53.02818298 0.8252 10.54 1.2501990167260137 1.482879769160975
232.0 AEGIS 215.26229858 53.03007889 0.6693 10.57 2.0734282408207605 1.468634351355029
236.0 AEGIS 215.19792175 52.98661804 2.2786 9.54 0.155095759655792 1.006128947434499
242.0 AEGIS 215.27650452 53.03985214 2.2626 10.0 0.8547513318416079 0.703733158918769
251.0 AEGIS 215.27682495 53.0412178 1.4225 10.66 1.4528716555682517 1.6222213607275615
265.0 AEGIS 215.28138733 53.0447998 2.4293 10.14 0.845995876854321 0.7998434164014565
281.0 AEGIS 215.1782074 52.97078323 0.6507 10.63 1.605380975665351 1.285834690862126
282.0 AEGIS 215.26922607 53.03649139 0.7424 9.95 1.724573716255864 1.3111560358246408
289.0 AEGIS 215.26115417 53.02983093 1.0472 9.82 0.8487431210075487 0.5315364450148432
295.0 AEGIS 215.28016663 53.04513168 2.3654 9.84 0.49928578288683445 1.9385362155281625
296.0 AEGIS 215.24743652 53.02067566 1.9806 10.93 1.5088818468756218 0.879646400354315
316.0 AEGIS 215.24246216 53.01735306 2.4476 10.47 0.7657925715275609 1.1193575319636757
319.0 AEGIS 215.28359985 53.04695511 1.8739 10.51 0.8123274094353349 0.9413993041856941
320.0 AEGIS 215.17987061 52.97486496 2.4605 9.97 0.7437883673460631 1.3110150254738482
334.0 AEGIS 215.1262207 52.93634415 1.2093 10.14 1.4189660125303387 1.8898500162934762
341.0 AEGIS 215.05300903 52.88492203 2.2617 9.68 0.5776887008159359 -0.006349630312597587
347.0 AEGIS 215.29449463 53.05503845 1.9521 9.52 0.6477285225664774 0.4313761698760932
348.0 AEGIS 215.06710815 52.89577866 2.3599 9.69 0.7596754844095936 1.0528569359270183
366.0 AEGIS 215.28057861 53.04536057 2.1883 10.29 0.9613891425318098 0.6708543204590495
371.0 AEGIS 215.10960388 52.9258728 2.3455 9.43 0.6895500023709195 0.18342126312526197
374.0 AEGIS 215.07391357 52.90093613 2.5975 10.18 0.9021832643996828 1.6818489084005173
379.0 AEGIS 215.16044617 52.96192932 2.2433 9.92 0.6027551300501757 1.0777818553821141
391.0 AEGIS 215.0690918 52.89670563 0.7183 10.15 1.5865339368355522 1.7059472656863388
393.0 AEGIS 215.11331177 52.92860031 1.8586 9.54 0.5831498833999794 0.941656694784634
397.0 AEGIS 215.243927 53.02050018 2.1194 10.21 1.4285697394237895 1.9904740442947475
407.0 AEGIS 215.26660156 53.03682327 1.8779 9.92 1.5863231635091597 1.743818611923604
413.0 AEGIS 215.06599426 52.89540482 1.6887 9.49 0.6768723372908342 0.2710090848354865
416.0 AEGIS 215.28997803 53.05239105 1.1698 10.05 1.24344807408261 1.3211948625748344
417.0 AEGIS 215.04985046 52.88405991 2.5298 9.47 0.09339591895600693 0.11194077387360452
