id field z lmass nth
531.0 AEGIS 2.0988 11.14 1.4819101557343295e-06
766.0 AEGIS 1.9801 11.05 4.540793507820334e-05
1420.0 AEGIS 1.873 11.12 2.547967167807713e-06
1606.0 AEGIS 2.4534 11.11 5.829411931221531e-06
2016.0 AEGIS 1.9839 11.0 6.090508677981509e-06
2250.0 AEGIS 1.1862 11.03 2.307179463778613e-05
2289.0 AEGIS 1.6564 11.01 2.6352136433004333e-05
2427.0 AEGIS 1.6654 11.02 3.267147705363218e-05
2481.0 AEGIS 1.3613 11.0 5.695523564821715e-06
2918.0 AEGIS 2.0708 11.53 2.023615202987626e-05
2957.0 AEGIS 2.4753 11.31 3.1450568387577854e-06
3106.0 AEGIS 1.6345 11.12 7.085823196355492e-06
3311.0 AEGIS 1.8535 11.33 5.59132669530666e-06
3654.0 AEGIS 0.6399 11.05 2.8832462607199463e-05
5016.0 AEGIS 1.9978 11.17 6.599752187330047e-06
5465.0 AEGIS 0.5483 11.08 1.96454515637416e-05
6115.0 AEGIS 1.372 11.09 4.3085778951103914e-05
6234.0 AEGIS 1.1098 11.05 2.24143852218502e-05
6262.0 AEGIS 1.901 11.27 1.2676568275122338e-06
6424.0 AEGIS 1.1622 11.38 4.2119803556880115e-05
6691.0 AEGIS 1.3859 11.23 5.910416839309741e-06
6880.0 AEGIS 1.5579 11.31 8.043274393159382e-06
7601.0 AEGIS 1.6473 11.3 3.1791125610033884e-05
7771.0 AEGIS 1.2838 11.04 1.2152542974239001e-05
8635.0 AEGIS 2.1979 11.16 7.757036116749687e-06
8646.0 AEGIS 1.6606 11.05 2.215131114285629e-05
8705.0 AEGIS 0.9738 11.14 3.010444419773247e-06
8838.0 AEGIS 1.2926 11.26 1.020971312484758e-05
9128.0 AEGIS 2.1277 11.32 5.2975686580487064e-06
9849.0 AEGIS 0.7366 11.49 0.00019302332947749893
9870.0 AEGIS 2.3936 11.07 1.7973529606801406e-05
10466.0 AEGIS 0.7722 11.23 2.7316491321232634e-05
10755.0 AEGIS 2.1407 11.05 3.149429158399275e-06
10858.0 AEGIS 1.8128 11.01 3.068047204234337e-06
10893.0 AEGIS 2.4883 11.05 2.4611657216079896e-05
11022.0 AEGIS 1.2693 11.1 1.7163090356990422e-05
11039.0 AEGIS 0.7598 11.11 8.156416683577123e-06
11465.0 AEGIS 1.6904 11.27 8.609972090080632e-06
11730.0 AEGIS 1.9842 11.1 7.146660431008197e-06
11773.0 AEGIS 2.023 11.12 2.212356537789902e-06
11880.0 AEGIS 2.4587 11.46 3.858659424358119e-06
11966.0 AEGIS 0.8009 11.21 7.959684785256741e-06
12049.0 AEGIS 1.6531 11.27 1.5015931111250782e-05
12219.0 AEGIS 1.5263 11.11 8.051672356637942e-06
12479.0 AEGIS 2.2208 11.21 3.661867530152529e-06
13524.0 AEGIS 1.2076 11.05 3.162206642339502e-05
13572.0 AEGIS 0.9932 11.21 5.921689911477611e-06
14012.0 AEGIS 1.383 11.1 4.923704999664581e-06
14056.0 AEGIS 1.307 11.05 5.188999783567815e-06
14495.0 AEGIS 1.5693 11.11 6.526261348605902e-06
14499.0 AEGIS 1.1901 11.02 6.128618153187401e-05
14609.0 AEGIS 1.0734 11.03 5.449345432254763e-06
14885.0 AEGIS 0.6855 11.21 4.62745940632392e-05
15088.0 AEGIS 1.9591 11.37 1.6100966255250744e-05
15593.0 AEGIS 0.8276 11.13 8.713987356828114e-06
15669.0 AEGIS 0.7818 11.02 1.6165692063941502e-05
15709.0 AEGIS 2.0878 11.38 2.1930295767902725e-05
15871.0 AEGIS 2.1681 11.07 1.7889814747900745e-05
16065.0 AEGIS 2.1872 11.14 6.695006933497526e-06
16180.0 AEGIS 0.7019 11.01 1.0592526192565153e-05
16238.0 AEGIS 1.3688 11.53 3.1698724783355986e-05
16367.0 AEGIS 0.9278 11.0 3.3275892642067904e-05
16491.0 AEGIS 1.6426 11.0 1.1020056191564053e-05
17297.0 AEGIS 1.2694 11.21 4.3644991111038455e-06
17424.0 AEGIS 0.8009 11.03 6.771711501484648e-06
17527.0 AEGIS 0.6725 11.35 1.5051499624261184e-05
17570.0 AEGIS 1.059 11.01 9.820524955246857e-06
17691.0 AEGIS 1.8434 11.09 4.0778337020206096e-05
17754.0 AEGIS 2.2393 11.26 5.952514106553013e-06
17775.0 AEGIS 1.1774 11.07 4.808897753084235e-05
17948.0 AEGIS 0.9784 11.1 6.429909909174538e-06
18045.0 AEGIS 1.1609 11.33 2.4305800678238624e-05
18280.0 AEGIS 1.8197 11.18 9.395967989106349e-06
18922.0 AEGIS 1.6912 11.44 2.9621264381513782e-05
19743.0 AEGIS 1.5751 11.34 6.985777729540704e-05
19970.0 AEGIS 1.2374 11.2 2.6193854164600664e-05
20106.0 AEGIS 1.1102 11.25 1.4156702010965766e-05
20794.0 AEGIS 1.1655 11.12 5.447512120702253e-06
21028.0 AEGIS 1.2469 11.1 8.580493941008308e-06
21156.0 AEGIS 1.9074 11.03 6.902301757814387e-06
21357.0 AEGIS 1.3373 11.0 6.658059895811145e-06
22126.0 AEGIS 1.0987 11.35 8.28915547217642e-06
22678.0 AEGIS 1.1987 11.07 5.211418507640136e-05
23011.0 AEGIS 1.3328 11.19 1.5261598215762894e-05
23040.0 AEGIS 2.3742 11.08 6.097710820416814e-06
23234.0 AEGIS 1.9147 11.4 2.007051678269147e-05
23645.0 AEGIS 2.1067 11.13 1.3079620914629421e-05
24059.0 AEGIS 1.8634 11.07 6.356238900409936e-06
24333.0 AEGIS 1.9683 11.47 2.1605554976741524e-05
24448.0 AEGIS 1.6382 11.26 5.7828290355355335e-05
25300.0 AEGIS 2.3178 11.01 7.99091333379425e-06
25346.0 AEGIS 1.8619 11.01 5.10591514102995e-06
25354.0 AEGIS 0.6539 11.54 1.929278393511793e-05
25969.0 AEGIS 1.6654 11.22 4.713132776597531e-05
26127.0 AEGIS 0.8053 11.07 2.875652504477124e-05
26508.0 AEGIS 2.028 11.13 1.818223255164364e-05
26649.0 AEGIS 1.8731 11.13 5.022322384184274e-06
26850.0 AEGIS 1.2876 11.46 6.269149009708709e-06
26884.0 AEGIS 1.2516 11.0 1.96995057591028e-05
27177.0 AEGIS 1.4624 11.03 5.105357396775784e-06
27315.0 AEGIS 1.567 11.25 1.1991569017178156e-05
27802.0 AEGIS 2.0109 11.1 5.496616065718856e-06
28310.0 AEGIS 1.5191 11.38 2.1975954615375815e-05
28328.0 AEGIS 1.0954 11.27 1.992755809123804e-05
28843.0 AEGIS 1.5259 11.01 2.0409342002299863e-05
28864.0 AEGIS 1.5374 11.01 1.2151954779426104e-05
29106.0 AEGIS 2.0209 11.04 4.262784937282972e-06
29178.0 AEGIS 2.0337 11.05 6.446164283688501e-06
29299.0 AEGIS 0.6175 11.01 4.198254252005584e-06
29329.0 AEGIS 1.6117 11.0 2.5170928415986215e-05
29399.0 AEGIS 1.8255 11.02 9.0267516338646e-05
29861.0 AEGIS 2.0254 11.09 2.332973354446787e-05
29863.0 AEGIS 1.1841 11.14 8.949861101494717e-06
29987.0 AEGIS 2.209 11.3 1.2952318209570475e-05
30084.0 AEGIS 0.68 11.15 2.5636639403960168e-05
30393.0 AEGIS 1.2047 11.03 2.1243460341012454e-05
30421.0 AEGIS 1.4359 11.29 8.70406495696975e-05
30735.0 AEGIS 1.0595 11.25 1.6811490144125135e-05
30920.0 AEGIS 1.2714 11.22 1.0958560321640281e-05
30967.0 AEGIS 2.0686 11.08 4.913851797234122e-06
31001.0 AEGIS 0.8272 11.09 2.9545158659647258e-05
31109.0 AEGIS 0.94 11.09 3.1566598974693475e-05
31169.0 AEGIS 1.8941 11.41 1.3804598545561801e-05
31326.0 AEGIS 1.1711 11.08 3.110259233968063e-05
31353.0 AEGIS 2.3164 11.3 7.116958795068767e-06
31839.0 AEGIS 1.9626 11.01 5.844600097790065e-06
32014.0 AEGIS 2.4196 11.04 7.165720397738599e-05
32425.0 AEGIS 1.0268 11.02 1.6420000446138916e-05
33028.0 AEGIS 1.426 11.19 9.36710552233778e-06
33158.0 AEGIS 1.4152 11.0 1.0124035157396762e-05
33196.0 AEGIS 1.6927 11.11 1.3717705571450525e-05
33551.0 AEGIS 1.5572 11.32 1.3082599491397584e-05
33863.0 AEGIS 2.1698 11.43 8.230277933694125e-06
33925.0 AEGIS 2.2941 11.22 1.1768798370139935e-05
34141.0 AEGIS 1.4344 11.15 4.703942192470778e-06
34185.0 AEGIS 1.7221 11.24 1.8659570219172036e-05
34254.0 AEGIS 1.0186 11.07 1.0406567132654415e-05
34722.0 AEGIS 1.087 11.13 5.0038581989199364e-05
34836.0 AEGIS 0.9269 11.09 1.0493699608166214e-05
35677.0 AEGIS 1.6568 11.04 4.3036403708432826e-05
36104.0 AEGIS 2.3265 11.04 1.3383831452827453e-05
36347.0 AEGIS 1.5568 11.08 1.2857962492865498e-05
36600.0 AEGIS 0.9304 11.19 2.197766973441316e-05
37556.0 AEGIS 1.7945 11.03 8.753197414613457e-06
