id field z lmass density1r1 density1r2 density1r3 density1r4 density1r5 density1r6 density1r7 density1r8 density1r9 density1r10 density1r11 density1r12 density1r13 density2r1 density2r2 density2r3 density2r4 density2r5 density2r6 density2r7 density2r8 density2r9 density2r10 density2r11 density2r12 density2r13 density3r1 density3r2 density3r3 density3r4 density3r5 density3r6 density3r7 density3r8 density3r9 density3r10 density3r11 density3r12 density3r13 density4r1 density4r2 density4r3 density4r4 density4r5 density4r6 density4r7 density4r8 density4r9 density4r10 density4r11 density4r12 density4r13 rand1r1 rand1r2 rand1r3 rand1r4 rand1r5 rand1r6 rand1r7 rand1r8 rand1r9 rand1r10 rand1r11 rand1r12 rand1r13 rand2r1 rand2r2 rand2r3 rand2r4 rand2r5 rand2r6 rand2r7 rand2r8 rand2r9 rand2r10 rand2r11 rand2r12 rand2r13 rand3r1 rand3r2 rand3r3 rand3r4 rand3r5 rand3r6 rand3r7 rand3r8 rand3r9 rand3r10 rand3r11 rand3r12 rand3r13 rand4r1 rand4r2 rand4r3 rand4r4 rand4r5 rand4r6 rand4r7 rand4r8 rand4r9 rand4r10 rand4r11 rand4r12 rand4r13
531.0 AEGIS 2.0988 11.14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.995582841204214e-07 3.183098861837907e-07 1.5206573777740149e-06 2.118846121164196e-06 1.8678116327273487e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.5991165682408428e-06 1.2732395447351628e-06 8.87050137034842e-07 1.059423060582098e-06 1.2452077551515658e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.068857925913383e-07 6.05384606046913e-07 5.623518894232877e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.801643444435037e-07 4.540384545351848e-07 4.217639170674658e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.5062997038123749e-06 2.198785281331159e-06 1.9894367886486917e-06 2.0909038944392706e-06 1.9170512524818915e-06 1.4862157077615463e-06 0.0 0.0 0.0 0.0 0.0 0.0 1.261217929264402e-06 1.5062997038123749e-06 9.994478551505268e-07 1.1936620731892152e-06 1.488977015737056e-06 1.3495031843129103e-06 1.0192627995797091e-06 0.0 0.0 0.0 0.0 0.0 3.168036203695864e-06 1.261217929264402e-06 5.020999012707917e-07 3.997791420602107e-07 7.16197243913529e-07 7.286483268500488e-07 6.306089646322011e-07 5.221838973216243e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.9988957103010535e-07 3.183098861837907e-07 4.43525068517421e-07 4.540384545351848e-07 3.5146993088955487e-07
766.0 AEGIS 1.9801 11.05 0.0 0.0 0.0 0.0 0.0 1.2672144814783456e-05 1.0089743434115216e-05 4.016799210166333e-06 4.797349704722529e-06 3.5014087480216976e-06 2.914593307400195e-06 2.421538424187652e-06 1.8678116327273487e-06 0.0 0.0 0.00020083996050831703 7.995582841204225e-05 3.183098861837907e-05 1.2672144814783456e-05 5.044871717057608e-06 4.016799210166333e-06 3.997791420602107e-06 2.5464790894703256e-06 1.774100274069684e-06 1.8161538181407392e-06 1.225123759100734e-06 0.0 0.0 0.00020083996050831703 7.995582841204225e-05 3.183098861837907e-05 1.2672144814783456e-05 5.044871717057608e-06 2.0083996050831666e-06 1.5991165682408428e-06 9.54929658551372e-07 8.87050137034842e-07 1.0089743434115218e-06 7.631918499316049e-07 0.0012672144814783468 0.000504487171705762 0.00020083996050831703 7.995582841204225e-05 3.183098861837907e-05 1.2672144814783456e-05 5.044871717057608e-06 2.0083996050831666e-06 1.5991165682408428e-06 9.54929658551372e-07 8.87050137034842e-07 7.567307575586414e-07 6.82855865728278e-07 0.0 0.0 0.0 0.0 0.0 0.0 1.261217929264402e-06 2.0083996050831666e-06 2.198785281331159e-06 2.6260565610162732e-06 2.8829129453632363e-06 2.5224358585288044e-06 1.6920766672825713e-06 0.0 0.0 0.0 0.0 0.0 3.168036203695864e-06 2.522435858528804e-06 2.0083996050831666e-06 2.5985644233913697e-06 1.5119719593730057e-06 1.774100274069684e-06 1.5008493358246387e-06 1.0343257966178328e-06 0.0 0.0 0.0 0.0 0.0 6.336072407391728e-06 3.783653787793206e-06 1.5062997038123749e-06 9.994478551505268e-07 1.1140846016432675e-06 1.1721733953674697e-06 9.837499848262337e-07 6.928978637536939e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.183098861837907e-07 6.969679648130901e-07 5.67548068168981e-07 4.368269141055896e-07
1420.0 AEGIS 1.873 11.12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.995582841204214e-07 1.5915494309189535e-06 2.1542646185131877e-06 1.8161538181407392e-06 1.9280636208798436e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.2732395447351628e-06 8.87050137034842e-07 8.576281918997935e-07 8.636118301857633e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.366197723675814e-07 6.336072407391729e-07 7.062820403880653e-07 7.832758459824365e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.183098861837907e-07 3.801643444435037e-07 2.5224358585288046e-07 2.811759447116439e-07 0.0 0.0 0.0 0.0 0.0 0.0 2.522435858528804e-06 2.0083996050831666e-06 1.5991165682408428e-06 8.753521870054244e-07 7.920090509239661e-07 9.206890883630136e-07 1.0644517906940804e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.020999012707917e-07 9.994478551505268e-07 7.16197243913529e-07 5.385661546282969e-07 5.29711530291049e-07 5.874568844868274e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.978873577297384e-07 4.7520543055437965e-07 4.792628131204729e-07 4.167429180547579e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.9988957103010535e-07 2.38732414637843e-07 2.217625342587105e-07 2.1440704797494838e-07 2.3096595458456462e-07
1606.0 AEGIS 2.4534 11.11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0083996050831666e-06 3.997791420602107e-06 3.183098861837907e-06 3.4214790999915332e-06 3.279166616087446e-06 2.59083549055729e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.1982331364816857e-06 3.183098861837907e-06 2.407707514808857e-06 2.6233332928699566e-06 1.8878956287781804e-06 0.0 0.0 0.0 0.0 0.0 0.0 5.044871717057608e-06 2.0083996050831666e-06 1.5991165682408428e-06 6.366197723675814e-07 5.068857925913383e-07 7.567307575586414e-07 6.82855865728278e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0089743434115217e-07 1.2050397630499022e-07 0.0 0.0 0.0 0.0 0.0 3.168036203695864e-06 5.044871717057608e-06 4.016799210166333e-06 3.997791420602107e-06 3.183098861837907e-06 2.8829129453632363e-06 2.6611698307478887e-06 2.194176568553364e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.5062997038123749e-06 2.9983435654515805e-06 1.8302818455567964e-06 1.7107395499957666e-06 1.639583308043723e-06 1.2552497531769816e-06 0.0 0.0 0.0 0.0 0.0 0.0 1.261217929264402e-06 2.0083996050831666e-06 1.3992269972107374e-06 9.54929658551372e-07 6.336072407391729e-07 6.179967853395571e-07 4.970789022580847e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.995582841204214e-07 3.183098861837907e-07 2.217625342587105e-07 2.0179486868230435e-07 1.506299703812378e-07
2016.0 AEGIS 1.9839 11.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.5991165682408428e-06 9.54929658551372e-07 2.5344289629566916e-06 2.6737820100405325e-06 1.6870556682698632e-06 0.0 0.0 0.00020083996050831703 7.995582841204225e-05 3.183098861837907e-05 1.2672144814783456e-05 1.0089743434115216e-05 8.033598420332667e-06 3.1982331364816857e-06 1.909859317102744e-06 1.9008217222175186e-06 1.6143589494584348e-06 1.0644517906940804e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.5991165682408428e-06 9.54929658551372e-07 1.1404930333305112e-06 1.0089743434115218e-06 7.230238578299415e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.995582841204214e-07 6.366197723675814e-07 7.603286888870074e-07 8.576281918997935e-07 5.824358854741195e-07 0.0 0.0 0.0 0.0 0.0 3.168036203695864e-06 2.522435858528804e-06 3.0125994076247497e-06 2.198785281331159e-06 2.466901617924378e-06 2.027543170365353e-06 1.702644204506943e-06 1.2502287541642736e-06 0.0 0.0 0.0 0.0 0.0 0.0 3.783653787793206e-06 2.510499506353958e-06 2.5985644233913697e-06 1.5915494309189535e-06 1.3939359296261802e-06 1.1855448535085381e-06 7.933178440078523e-07 0.0 0.0 0.0 0.0 0.0 0.0 1.261217929264402e-06 2.0083996050831666e-06 1.9988957103010537e-06 1.1140846016432675e-06 8.87050137034842e-07 7.062820403880653e-07 4.4686891213100545e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.020999012707917e-07 1.9988957103010535e-07 7.16197243913529e-07 5.702465166652556e-07 4.792628131204729e-07 3.5146993088955487e-07
2250.0 AEGIS 1.1862 11.03 0.0 0.0 0.0 0.0 0.0 0.0 5.044871717057608e-06 4.016799210166333e-06 1.5991165682408428e-06 1.5915494309189535e-06 1.1404930333305112e-06 1.9674999696524674e-06 1.7473076564223584e-06 0.0 0.0 0.0 0.0 0.0 0.0 5.044871717057608e-06 2.0083996050831666e-06 1.5991165682408428e-06 1.2732395447351628e-06 1.5206573777740149e-06 1.8161538181407392e-06 1.9481476169306753e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.995582841204214e-07 1.2732395447351628e-06 1.2672144814783458e-06 1.5134615151172828e-06 1.566551691964873e-06 0.0 0.0 0.0 0.0 0.0 0.0 1.0089743434115216e-05 4.016799210166333e-06 1.5991165682408428e-06 9.54929658551372e-07 5.068857925913383e-07 6.558333232174892e-07 7.631918499316049e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0041998025415833e-06 1.3992269972107374e-06 1.1936620731892152e-06 1.6156984638848907e-06 1.5386858737025707e-06 1.2853757472532292e-06 0.0 0.0 0.0 0.0 0.0 0.0 1.261217929264402e-06 2.510499506353958e-06 2.198785281331159e-06 1.7507043740108488e-06 1.8691413601805598e-06 1.4504006186540626e-06 1.2703127502151053e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.997791420602107e-07 1.1140846016432675e-06 1.5206573777740149e-06 1.2612179292644022e-06 1.0343257966178328e-06 0.0 0.0 0.0 0.0 0.0 0.0 1.261217929264402e-06 5.020999012707917e-07 5.996687130903161e-07 7.16197243913529e-07 8.236894129609248e-07 6.179967853395571e-07 4.970789022580847e-07
2289.0 AEGIS 1.6564 11.01 0.0 0.0 0.0 0.0 0.0 0.0 1.0089743434115216e-05 4.016799210166333e-06 6.396466272963371e-06 4.774648292756861e-06 3.294757651843699e-06 3.1278204645757173e-06 2.5707514945064584e-06 0.0 0.0 0.0 0.0 0.0 1.2672144814783456e-05 5.044871717057608e-06 4.016799210166333e-06 3.1982331364816857e-06 2.5464790894703256e-06 2.027543170365353e-06 1.9170512524818915e-06 1.4661317117107146e-06 0.0 0.0 0.0 0.0 0.0 0.0 1.0089743434115216e-05 4.016799210166333e-06 1.5991165682408428e-06 2.228169203286535e-06 1.3939359296261802e-06 1.4630127979467067e-06 1.0644517906940804e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.183098861837907e-07 6.336072407391729e-07 5.044871717057609e-07 5.221838973216243e-07 0.0 0.0 0.0 0.0 0.0 0.0 6.30608964632201e-06 3.0125994076247497e-06 1.7990061392709482e-06 1.8302818455567964e-06 2.2809860666610223e-06 2.1819070176274157e-06 2.2042185665787795e-06 0.0 0.0 0.0 0.0 7.957747154594767e-06 6.336072407391728e-06 3.783653787793206e-06 2.0083996050831666e-06 1.5991165682408428e-06 1.7507043740108488e-06 1.2038537574044285e-06 1.135096136337962e-06 1.1949977650244865e-06 0.0 0.0 0.0 0.0 0.0 0.0 1.261217929264402e-06 2.510499506353958e-06 1.1993374261806322e-06 1.1936620731892152e-06 9.187304990718006e-07 1.147708315630606e-06 1.0493887936559567e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.9988957103010535e-07 2.38732414637843e-07 1.9008217222175186e-07 4.162019166572527e-07 3.9665892200392617e-07
2427.0 AEGIS 1.6654 11.02 0.0 0.0 0.0 0.0 0.0 0.0 1.0089743434115216e-05 6.0251988152494995e-06 3.997791420602107e-06 2.5464790894703256e-06 3.801643444435037e-06 4.237692242328392e-06 3.876211237810519e-06 0.0 0.0 0.0 0.0 0.0 0.0 5.044871717057608e-06 2.0083996050831666e-06 1.5991165682408428e-06 9.54929658551372e-07 1.0137715851826765e-06 2.118846121164196e-06 2.0686515932356656e-06 0.0012672144814783468 0.000504487171705762 0.00020083996050831703 7.995582841204225e-05 3.183098861837907e-05 2.534428962956691e-05 1.0089743434115216e-05 4.016799210166333e-06 2.3986748523612645e-06 1.2732395447351628e-06 1.0137715851826765e-06 1.7657051009701631e-06 1.707139664320695e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.2672144814783456e-07 4.540384545351848e-07 5.42267893372456e-07 0.0 0.0 0.0 0.0 0.0 0.0 2.522435858528804e-06 2.0083996050831666e-06 2.798453994421475e-06 2.9443664472000638e-06 2.977954031474112e-06 2.282804451968568e-06 2.1389455794135768e-06 0.0 0.0 0.0 0.0 0.0 3.168036203695864e-06 1.261217929264402e-06 1.0041998025415833e-06 1.1993374261806322e-06 1.3528170162811104e-06 1.5523377398109734e-06 1.2990544671423342e-06 1.2452077551515658e-06 0.0 0.0 0.0 0.0 0.0 6.336072407391728e-06 3.783653787793206e-06 3.0125994076247497e-06 1.9988957103010537e-06 1.5119719593730057e-06 1.5523377398109734e-06 1.135096136337962e-06 8.485488331476396e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.9988957103010535e-07 3.978873577297384e-07 5.068857925913383e-07 4.540384545351848e-07 3.866169239785103e-07
2481.0 AEGIS 1.3613 11.0 0.0 0.0 0.0 0.0 0.0 0.0 5.044871717057608e-06 2.0083996050831666e-06 3.1982331364816857e-06 2.5464790894703256e-06 1.9008217222175186e-06 2.2197435555053477e-06 1.707139664320695e-06 0.0 0.0 0.0 0.0 3.183098861837907e-05 1.2672144814783456e-05 5.044871717057608e-06 2.0083996050831666e-06 3.1982331364816857e-06 2.864788975654116e-06 2.407707514808857e-06 1.8666025353113153e-06 1.5263836998632098e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0083996050831666e-06 7.995582841204214e-07 1.2732395447351628e-06 1.1404930333305112e-06 9.080769090703696e-07 9.439478143890902e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.5991165682408428e-06 9.54929658551372e-07 7.603286888870074e-07 6.558333232174892e-07 4.217639170674658e-07 0.0 0.0 0.0 0.0 0.0 0.0 1.261217929264402e-06 5.020999012707917e-07 9.994478551505268e-07 1.1140846016432675e-06 1.1721733953674697e-06 9.080769090703696e-07 8.636118301857633e-07 0.0 0.0 0.0 0.0 0.0 3.168036203695864e-06 1.261217929264402e-06 1.0041998025415833e-06 1.3992269972107374e-06 1.3528170162811104e-06 1.1721733953674697e-06 9.837499848262337e-07 7.481288528934811e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.020999012707917e-07 5.996687130903161e-07 7.16197243913529e-07 7.286483268500488e-07 7.062820403880653e-07 6.376668746139067e-07 0.0 0.0 0.0 0.0 0.0 3.168036203695864e-06 1.261217929264402e-06 5.020999012707917e-07 1.9988957103010535e-07 3.183098861837907e-07 2.217625342587105e-07 2.3963140656023643e-07 1.857769634701933e-07
2918.0 AEGIS 2.0708 11.53 0.0 0.0 0.0 0.0 0.0 1.2672144814783456e-05 5.044871717057608e-06 8.033598420332667e-06 7.196024557083793e-06 4.45633840657307e-06 3.6749219962872025e-06 2.976474313063989e-06 2.1489875774389924e-06 0.0 0.0 0.0 0.0 0.0 0.0 1.0089743434115216e-05 4.016799210166333e-06 2.3986748523612645e-06 1.5915494309189535e-06 1.5206573777740149e-06 1.6143589494584348e-06 1.1046197827957438e-06 0.0 0.0 0.0 0.0 3.183098861837907e-05 1.2672144814783456e-05 5.044871717057608e-06 2.0083996050831666e-06 7.995582841204214e-07 9.54929658551372e-07 1.0137715851826765e-06 1.0089743434115218e-06 6.426878736266146e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.3986748523612645e-06 1.5915494309189535e-06 1.1404930333305112e-06 8.071794747292174e-07 5.824358854741195e-07 0.0 0.0 0.0 0.0 0.0 0.0 1.261217929264402e-06 1.5062997038123749e-06 1.9988957103010537e-06 1.909859317102744e-06 1.7424199120327254e-06 1.677419845921655e-06 1.4962577057869622e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.020999012707917e-07 7.995582841204214e-07 7.957747154594768e-07 1.0771323092565938e-06 1.0215865227041657e-06 9.790948074780457e-07 0.0 0.0 0.0 0.0 0.0 0.0 1.261217929264402e-06 1.0041998025415833e-06 5.996687130903161e-07 7.16197243913529e-07 6.019268787022142e-07 5.549358888763369e-07 5.42267893372456e-07 0.0 0.0 0.0 0.0 0.0 0.0 2.522435858528804e-06 1.0041998025415833e-06 7.995582841204214e-07 6.366197723675814e-07 4.118447064804624e-07 3.783653787793207e-07 3.765749259530945e-07
