std1 std2 std3 std4
4.251777454516904e-05 4.0067542617001916e-05 5.484574698914142e-05 3.339192570226132e-05
1.2024735043501426e-05 3.110132834281822e-05 1.7922360230918383e-05 2.276197711237954e-05
2.3343240674268194e-05 2.48238122535479e-05 1.3812058163682296e-05 2.280479409978878e-05
1.4527975724528404e-05 1.4252946741277038e-05 1.0057482377554122e-05 1.2697070022112842e-05
8.975984204444099e-06 8.540511452357169e-06 6.947659761290443e-06 9.602627955474953e-06
5.602753179126556e-06 6.025784812391702e-06 6.150699457905049e-06 8.885441357801867e-06
4.110259340313025e-06 5.103820147873222e-06 4.806366271231516e-06 5.47605555241475e-06
3.0000287834502065e-06 3.6513582520205165e-06 3.919123219897091e-06 5.657863826272971e-06
3.190199957210743e-06 3.2448362344822144e-06 3.819190121003785e-06 4.947667797289418e-06
2.5517246127351327e-06 2.6894098685083263e-06 3.270071335853303e-06 4.619728905105851e-06
2.243677645229134e-06 2.758346588149645e-06 2.98291325891435e-06 4.232141780827583e-06
1.8279442123074547e-06 2.288829041888147e-06 2.4007434840125724e-06 3.2731945121099384e-06
1.0009777349812722e-06 1.3927655624579533e-06 1.5129661535826101e-06 2.390145630779813e-06
